Date,Close
"December 1, 2016",152.389999
"December 2, 2016",152.25
"December 5, 2016",152.160004
"December 6, 2016",152.240005
"December 7, 2016",154.139999
"December 8, 2016",155.389999
"December 9, 2016",156.490005
"December 12, 2016",157.160004
"December 13, 2016",156.660004
"December 14, 2016",154.470001
"December 15, 2016",153.770004
"December 16, 2016",154.5
"December 19, 2016",156.179993
"December 20, 2016",156.389999
"December 21, 2016",157.479996
"December 22, 2016",157.460007
"December 23, 2016",157.809998
"December 27, 2016",157.479996
"December 28, 2016",156.100006
"December 29, 2016",155.690002
"December 30, 2016",155.679993
